EmployeeID,Education,JoiningYear,City,PaymentTier,Age,Gender,EverBenched,ExperienceInCurrentDomain,LeaveOrNot,skills
E001,Bachelors,2017,Bangalore,3,34,Male,No,0,0,"Java, Data Analysis, Kubernetes, Node.js"
E002,Bachelors,2013,Pune,1,28,Female,No,3,1,"Machine Learning, Excel"
E003,Bachelors,2014,New Delhi,3,38,Female,No,2,0,"Machine Learning, Python, Angular, SQL"
E004,Masters,2016,Bangalore,3,27,Male,No,5,1,"Communication, Excel"
E005,Masters,2017,Pune,3,24,Male,Yes,2,1,Python
E006,Bachelors,2016,Bangalore,3,22,Male,No,0,0,"JavaScript, Project Management, Java"
E007,Bachelors,2015,New Delhi,3,38,Male,No,0,0,"Angular, Excel"
E008,Bachelors,2016,Bangalore,3,34,Female,No,2,1,"Kubernetes, Machine Learning, Excel"
E009,Bachelors,2016,Pune,3,23,Male,No,1,0,"Excel, Python, Angular, Kubernetes"
E010,Masters,2017,New Delhi,2,37,Male,No,2,0,"C++, Kubernetes, AWS"
E011,Masters,2012,Bangalore,3,27,Male,No,5,1,"Docker, Kubernetes, SQL, JavaScript"
E012,Bachelors,2016,Pune,3,34,Male,No,3,0,Angular
E013,Bachelors,2018,Pune,3,32,Male,Yes,5,1,"Angular, Java"
E014,Bachelors,2016,Bangalore,3,39,Male,No,2,0,"SQL, Data Analysis, Node.js"
E015,Bachelors,2012,Bangalore,3,37,Male,No,4,0,"Java, AWS, Data Analysis, SQL"
E016,Bachelors,2017,Bangalore,1,29,Male,No,3,0,"Java, JavaScript, Project Management, Docker"
E017,Bachelors,2014,Bangalore,3,34,Female,No,2,0,Data Analysis
E018,Bachelors,2014,Pune,3,34,Male,No,4,0,"C++, Java"
E019,Bachelors,2015,Pune,2,30,Female,No,0,1,"Node.js, Java, Kubernetes"
E020,Bachelors,2016,New Delhi,2,22,Female,No,0,1,"Communication, Java"
E021,Bachelors,2012,Bangalore,3,37,Male,No,0,0,"Docker, JavaScript, Project Management, SQL"
E022,Masters,2017,New Delhi,2,28,Male,No,4,0,"Node.js, SQL"
E023,Bachelors,2017,New Delhi,2,36,Male,No,3,0,Kubernetes
E024,Bachelors,2015,Bangalore,3,27,Male,Yes,5,0,"Docker, C++, Excel, Angular"
E025,Bachelors,2017,Bangalore,3,29,Male,No,4,0,"Data Analysis, Project Management, Java"
E026,Bachelors,2013,Bangalore,3,22,Female,Yes,0,0,"Node.js, Communication, Python, Kubernetes"
E027,Bachelors,2016,Bangalore,3,37,Male,No,2,0,"Python, JavaScript"
E028,Bachelors,2015,Bangalore,3,23,Male,No,1,0,"Python, Communication, AWS, SQL"
E029,Bachelors,2013,Pune,2,31,Female,No,2,1,"C++, Communication, Java"
E030,Masters,2017,New Delhi,2,30,Female,No,2,0,"Python, C++, Docker"
E031,PHD,2013,New Delhi,3,25,Male,No,3,0,"Kubernetes, Communication"
E032,Bachelors,2014,Bangalore,3,23,Male,No,1,0,"Angular, Java, Node.js, Docker"
E033,Bachelors,2018,Bangalore,3,26,Male,No,4,1,"Communication, Project Management, Machine Learning, C++"
E034,Bachelors,2016,Bangalore,3,40,Male,No,5,0,Kubernetes
E035,Bachelors,2017,Pune,2,37,Female,No,0,1,"C++, Machine Learning"
E036,Bachelors,2014,Bangalore,1,30,Female,No,3,0,"Machine Learning, AWS"
E037,Bachelors,2012,New Delhi,3,29,Male,No,3,0,"Communication, Excel"
E038,Bachelors,2018,New Delhi,2,34,Female,No,0,1,"Node.js, Angular, Kubernetes, Python"
E039,Bachelors,2017,Pune,2,29,Female,No,2,1,"React, Data Analysis, Angular"
E040,Bachelors,2014,Pune,3,30,Male,Yes,4,0,"C++, AWS, Excel, Java"
E041,Bachelors,2015,Bangalore,3,36,Male,No,1,0,"Data Analysis, Docker, Communication"
E042,Masters,2017,New Delhi,2,23,Male,No,1,0,"AWS, Node.js, Data Analysis, React"
E043,Bachelors,2013,Bangalore,3,30,Male,No,3,1,"C++, Machine Learning, Excel"
E044,Bachelors,2014,Bangalore,3,36,Male,No,0,0,"JavaScript, Data Analysis, Machine Learning, Excel"
E045,Bachelors,2015,Pune,3,39,Male,No,4,0,"Data Analysis, C++"
E046,Bachelors,2014,Bangalore,3,23,Female,No,1,0,Excel
E047,PHD,2012,New Delhi,3,27,Male,No,5,0,"Machine Learning, Docker, Node.js"
E048,Masters,2013,New Delhi,3,35,Male,No,2,0,"Docker, Python, Angular"
E049,Masters,2017,New Delhi,2,34,Male,No,0,0,"Excel, Java, Kubernetes"
E050,Bachelors,2013,Bangalore,3,30,Female,No,1,0,"Machine Learning, SQL, Communication, Kubernetes"
E051,PHD,2017,New Delhi,3,34,Male,No,2,0,"JavaScript, Node.js, AWS"
E052,Bachelors,2015,Pune,2,26,Female,No,4,1,"Machine Learning, JavaScript"
E053,Bachelors,2016,Bangalore,3,34,Female,No,0,0,"C++, Kubernetes, SQL"
E054,Bachelors,2014,Bangalore,3,31,Female,Yes,5,0,"Excel, Machine Learning, React"
E055,Bachelors,2017,New Delhi,3,31,Female,Yes,5,0,Data Analysis
E056,PHD,2013,New Delhi,3,28,Male,No,2,0,"Java, Project Management, Docker"
E057,Bachelors,2016,Bangalore,3,38,Male,No,2,0,"Machine Learning, Communication, C++"
E058,Masters,2014,Pune,3,39,Female,No,2,0,"Node.js, Excel, Communication, SQL"
E059,Bachelors,2013,Pune,3,32,Male,No,4,0,"Node.js, AWS, JavaScript, Kubernetes"
E060,Masters,2017,Pune,2,36,Male,No,2,1,"Excel, Communication, Python, Java"
E061,Masters,2013,New Delhi,3,29,Male,No,3,0,"JavaScript, Angular, Communication"
E062,Bachelors,2015,Bangalore,3,30,Male,No,5,0,Communication
E063,PHD,2013,Bangalore,2,25,Male,No,3,1,"Excel, Machine Learning"
E064,Bachelors,2014,Pune,1,22,Female,No,0,1,"SQL, Node.js"
E065,Bachelors,2016,Bangalore,3,34,Male,No,4,0,Java
E066,Bachelors,2018,Bangalore,3,40,Male,No,1,1,"AWS, Java"
E067,PHD,2013,Bangalore,3,26,Male,No,4,0,"Excel, AWS"
E068,Bachelors,2014,New Delhi,3,28,Male,No,0,0,"JavaScript, SQL"
E069,Bachelors,2015,Bangalore,3,24,Female,No,2,0,"C++, React, SQL, Project Management"
E070,Masters,2017,Bangalore,3,40,Female,No,2,1,"AWS, SQL, Excel, Machine Learning"
E071,Bachelors,2018,Bangalore,3,23,Female,No,1,1,"Data Analysis, Kubernetes, C++"
E072,Masters,2017,Bangalore,3,31,Male,No,4,0,"Node.js, Machine Learning, Communication"
E073,Bachelors,2014,Pune,3,25,Female,No,3,0,"Docker, C++"
E074,Bachelors,2014,Bangalore,1,27,Male,No,5,0,"C++, React, Project Management"
E075,Masters,2017,New Delhi,2,25,Female,No,3,1,"Docker, JavaScript, Project Management"
E076,Bachelors,2015,Bangalore,3,40,Male,No,0,1,"Python, JavaScript, Machine Learning"
E077,Bachelors,2014,Bangalore,1,23,Female,No,1,0,"Docker, Python"
E078,Bachelors,2017,Bangalore,3,23,Female,No,1,0,"AWS, JavaScript, Project Management, C++"
E079,Bachelors,2012,Bangalore,3,39,Male,No,1,0,"Angular, SQL, Excel, AWS"
E080,PHD,2015,New Delhi,1,37,Male,No,1,0,"JavaScript, Python, Machine Learning, Communication"
E081,Bachelors,2017,Pune,3,38,Male,No,2,0,Machine Learning
E082,Bachelors,2013,Bangalore,3,31,Female,No,0,1,"React, SQL"
E083,Bachelors,2016,Bangalore,3,38,Male,No,5,0,"Data Analysis, Node.js, Excel"
E084,Bachelors,2017,Bangalore,3,25,Female,No,3,0,"Python, Project Management"
E085,Bachelors,2015,Bangalore,3,27,Female,Yes,5,1,"Data Analysis, Kubernetes"
E086,Bachelors,2016,Pune,2,36,Male,No,0,1,"Angular, Node.js"
E087,Bachelors,2017,Pune,2,27,Female,No,5,1,"AWS, Python, Node.js, C++"
E088,Masters,2015,Pune,2,32,Female,No,4,0,"Communication, Docker"
E089,Bachelors,2014,Bangalore,3,28,Male,No,4,0,"Data Analysis, Machine Learning, SQL"
E090,Masters,2012,New Delhi,3,32,Male,No,2,0,"Node.js, Excel, Java, Kubernetes"
E091,Bachelors,2018,Bangalore,3,30,Male,No,0,1,"Project Management, React, Python"
E092,Bachelors,2015,New Delhi,3,22,Male,No,0,0,"Project Management, Data Analysis, Angular"
E093,Bachelors,2017,New Delhi,2,34,Female,No,5,0,"Java, Communication"
E094,Masters,2013,New Delhi,3,36,Male,No,2,0,"React, Machine Learning, Java"
E095,Bachelors,2014,Bangalore,3,39,Male,No,3,1,"JavaScript, Excel, Docker"
E096,PHD,2018,Bangalore,3,26,Male,No,4,1,Angular
E097,Bachelors,2016,Bangalore,3,31,Female,No,0,0,Excel
E098,Bachelors,2014,Bangalore,3,27,Male,No,5,1,"Machine Learning, Java, Angular, AWS"
E099,Bachelors,2014,Bangalore,3,29,Female,No,0,0,"C++, SQL, Java, Angular"
E100,Bachelors,2015,Bangalore,3,24,Female,No,2,1,Communication
E101,Masters,2012,Pune,3,25,Male,No,3,1,"AWS, Data Analysis"
E102,Bachelors,2013,Pune,3,25,Male,No,3,0,"Node.js, Communication, AWS, JavaScript"
E103,Masters,2017,New Delhi,3,26,Female,No,4,1,"Node.js, Java"
E104,Bachelors,2015,Pune,2,28,Female,Yes,1,1,"SQL, Java"
E105,Bachelors,2017,New Delhi,3,28,Male,No,2,0,"React, Java, Project Management"
E106,Masters,2015,Pune,1,28,Female,No,3,1,"Data Analysis, Communication, React"
E107,Masters,2015,New Delhi,3,25,Male,No,3,0,"JavaScript, AWS"
E108,Bachelors,2017,Bangalore,3,28,Male,No,1,0,"Python, Node.js"
E109,Masters,2013,Pune,3,25,Male,No,3,0,"C++, Data Analysis, Python"
E110,Bachelors,2015,Bangalore,2,25,Female,No,3,1,"Angular, Excel, Docker"
E111,Bachelors,2015,Bangalore,3,27,Female,No,5,0,"Communication, SQL, Excel"
E112,Bachelors,2017,Pune,2,27,Female,No,5,1,"Machine Learning, Data Analysis, C++"
E113,Bachelors,2013,Bangalore,3,27,Male,No,5,1,"Angular, Project Management"
E114,Bachelors,2012,Bangalore,3,25,Male,No,3,0,"Machine Learning, Java"
E115,Masters,2017,New Delhi,2,28,Male,No,2,0,"JavaScript, C++, Excel"
E116,Bachelors,2014,Pune,1,26,Female,No,4,1,"Project Management, C++"
E117,Bachelors,2015,Bangalore,3,28,Male,No,2,0,"Communication, Java, React, JavaScript"
E118,Masters,2013,New Delhi,3,26,Male,No,4,0,Communication
E119,Bachelors,2017,Bangalore,3,26,Female,No,4,0,"C++, Angular"
E120,Bachelors,2017,New Delhi,2,25,Male,No,3,0,AWS
E121,Bachelors,2012,Bangalore,1,28,Female,No,3,0,"AWS, Communication, React"
E122,PHD,2015,New Delhi,3,26,Male,No,4,0,"Docker, Kubernetes, AWS"
E123,Bachelors,2015,New Delhi,3,25,Female,No,3,0,"AWS, Java, Angular, JavaScript"
